,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
609,0.00026726722717285156,3.0994415283203125e-06,1.8835067749023438e-05,False,7000,81280
610,3.62396240234375e-05,3.0994415283203125e-06,5.245208740234375e-06,True,7000,11214
611,0.0002543926239013672,3.337860107421875e-06,1.621246337890625e-05,False,7000,79107
612,8.606910705566406e-05,2.86102294921875e-06,7.867813110351562e-06,True,7000,24601
613,0.0001456737518310547,3.337860107421875e-06,1.1444091796875e-05,False,7000,44469
614,0.0001685619354248047,2.6226043701171875e-06,1.2159347534179688e-05,True,7000,48364
615,0.00016999244689941406,3.337860107421875e-06,1.2636184692382812e-05,False,7000,51574
616,3.457069396972656e-05,2.6226043701171875e-06,5.0067901611328125e-06,True,7000,9315
617,0.00026345252990722656,3.337860107421875e-06,2.09808349609375e-05,False,7000,79441
618,0.00022530555725097656,3.337860107421875e-06,1.71661376953125e-05,True,7000,67417
619,0.00019550323486328125,3.5762786865234375e-06,1.4543533325195312e-05,False,7000,60072
620,0.0002105236053466797,3.0994415283203125e-06,1.5020370483398438e-05,True,7000,60807
621,5.626678466796875e-05,3.0994415283203125e-06,5.4836273193359375e-06,False,7000,17752
622,6.818771362304688e-05,2.86102294921875e-06,7.152557373046875e-06,True,7000,20158
623,0.0002315044403076172,3.5762786865234375e-06,1.5497207641601562e-05,False,7000,66320
624,2.7418136596679688e-05,3.0994415283203125e-06,6.67572021484375e-06,True,7000,7930
625,0.00013637542724609375,2.86102294921875e-06,9.298324584960938e-06,False,7000,38987
626,0.0002541542053222656,3.5762786865234375e-06,1.4066696166992188e-05,True,7000,72180
627,0.00023245811462402344,3.5762786865234375e-06,1.5735626220703125e-05,False,7000,66258
628,0.00021958351135253906,3.0994415283203125e-06,1.6450881958007812e-05,True,7000,64396
629,0.00025725364685058594,3.0994415283203125e-06,1.6927719116210938e-05,False,7000,78272
630,0.00017690658569335938,4.0531158447265625e-06,1.3589859008789062e-05,True,7000,54298
631,0.0001723766326904297,3.337860107421875e-06,1.4066696166992188e-05,False,7000,51914
632,0.00014972686767578125,3.0994415283203125e-06,1.049041748046875e-05,True,7000,42439
633,0.00023937225341796875,3.0994415283203125e-06,1.621246337890625e-05,False,7000,73735
634,0.0001952648162841797,3.337860107421875e-06,1.2874603271484375e-05,True,7000,59565
635,8.535385131835938e-05,3.0994415283203125e-06,1.0013580322265625e-05,False,7000,25906
636,1.2874603271484375e-05,3.5762786865234375e-06,4.291534423828125e-06,True,7000,3966
637,4.863739013671875e-05,3.337860107421875e-06,6.198883056640625e-06,False,7000,14215
638,0.0002624988555908203,2.86102294921875e-06,1.6689300537109375e-05,True,7000,78752
